pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
7019006,20000000,1243,1429,0.608,0.0714,0.0339,0.000235,0.69,2.02,lQELaO7,"ts_scale( opt4_91_call_vola_delta45, 63 )",PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
7401114,20000000,1303,1366,0.7134,0.0753,0.0281,0.000211,0.69,2.13,PwxJ5dp,"ts_rank( opt4_91_call_vola_delta45, 63 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
7133710,20000000,1317,1354,1.0077,0.0726,0.0249,0.000144,0.64,2.37,boJY86m,"ts_rank( opt4_122_call_vola_delta80, 63 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6166003,20000000,1279,1390,0.8235,0.0627,0.029,0.000152,0.62,2.24,ObR168g,"ts_scale( opt4_365_call_vola_delta45, 21 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6088426,20000000,1258,1415,0.6265,0.0619,0.0316,0.000198,0.61,1.93,R29J5Aj,"ts_scale( opt4_365_call_vola_delta45, 63 )",PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
6621019,20000000,1299,1370,0.7344,0.0674,0.0281,0.000183,0.61,2.01,MKdjg6z,"ts_rank( opt4_365_call_vola_delta45, 63 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6863267,20000000,1220,1454,0.9106,0.0698,0.0338,0.000153,0.6,2.16,edNl6Oz,"ts_scale( opt4_122_call_vola_delta80, 63 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
6891937,20000000,1300,1372,0.6288,0.0701,0.0354,0.000223,0.59,1.76,edNlaoz,"ts_rank( opt4_91_call_vola_delta45, 126 )",PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
6151165,20000000,1310,1352,0.9204,0.0626,0.024,0.000136,0.57,2.2,5arZGJJ,"ts_rank( opt4_365_call_vola_delta45, 21 )",PASS,FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS
6969429,20000000,1315,1358,0.9359,0.0709,0.0325,0.000152,0.57,2.08,mrdPYap,"ts_rank( opt4_122_call_vola_delta80, 126 )",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS
